spark_info{version="3.1.2", revision="de351e30a90dd988b133b3d00fa6218bfcaba8b8"} 1.0
metrics_executor_rddBlocks{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_memoryUsed_bytes{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 1816
metrics_executor_diskUsed_bytes{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_totalCores{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_maxTasks{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_activeTasks{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_failedTasks_total{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_completedTasks_total{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_totalTasks_total{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_totalDuration_seconds_total{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0.0
metrics_executor_totalGCTime_seconds_total{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0.0
metrics_executor_totalInputBytes_bytes_total{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_totalShuffleRead_bytes_total{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_totalShuffleWrite_bytes_total{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_maxMemory_bytes{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 122644070
metrics_executor_usedOnHeapStorageMemory_bytes{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 1816
metrics_executor_usedOffHeapStorageMemory_bytes{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_totalOnHeapStorageMemory_bytes{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 122644070
metrics_executor_totalOffHeapStorageMemory_bytes{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_JVMHeapMemory_bytes{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 107048104
metrics_executor_JVMOffHeapMemory_bytes{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 110043560
metrics_executor_OnHeapExecutionMemory_bytes{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_OffHeapExecutionMemory_bytes{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 0
metrics_executor_OnHeapStorageMemory_bytes{application_id="spark-bb18983d4eef4b77b5825c937f74df71", application_name="Spark Pi", executor_id="driver"} 5000
